District,Post,Name,Ward,Party,Affidavit Link
SARAN(सारण),मुख्य पार्षद,1,मुख्य पार्षद,सारण,
SITAMARHI(सीतामढ़ी),वार्ड पार्षद,1,वार्ड पार्षद,सीतामढ़ी,
ARARIA(अररिया),वार्ड पार्षद,रॉकी कुमार,वार्ड पार्षद,अररिया,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/82/75/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/82/photo.jpeg
KAIMUR (BHABUA)(कैमूर (भभुआ)),वार्ड पार्षद,गुड़िया देवी,वार्ड पार्षद,कैमूर (भभुआ),http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/38/39/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/38/photo.jpeg
GAYA(गया),वार्ड पार्षद,संगीता देवी,वार्ड पार्षद,गया,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/58/51/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/58/photo.jpeg
DARBHANGA(दरभंगा),वार्ड पार्षद,इफ्तेखार,वार्ड पार्षद,दरभंगा,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/31/26/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/31/photo.jpeg
PATNA(पटना),वार्ड पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PATNA(पटना),वार्ड पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PASCHIM CHAMPARAN(पश्चिम चम्पारण),वार्ड पार्षद,सोनी देवी,वार्ड पार्षद,पश्चिम चम्पारण,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/34/29/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/34/photo.jpeg
VAISHALI(वैशाली),वार्ड पार्षद,जूही कुमारी,वार्ड पार्षद,वैशाली,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/20/15/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/20/photo.jpeg
SARAN(सारण),मुख्य पार्षद,लक्ष्मरी नारायण गुप्ता,मुख्य पार्षद,सारण,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/59/53/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/59/photo.jpeg
SITAMARHI(सीतामढ़ी),वार्ड पार्षद,मरियम खातून,वार्ड पार्षद,सीतामढ़ी,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/21/16/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/21/photo.jpeg
ARARIA(अररिया),वार्ड पार्षद,रॉकी कुमार,वार्ड पार्षद,अररिया,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/82/75/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/82/photo.jpeg
KAIMUR (BHABUA)(कैमूर (भभुआ)),वार्ड पार्षद,गुड़िया देवी,वार्ड पार्षद,कैमूर (भभुआ),http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/38/39/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/38/photo.jpeg
GAYA(गया),वार्ड पार्षद,संगीता देवी,वार्ड पार्षद,गया,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/58/51/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/58/photo.jpeg
DARBHANGA(दरभंगा),वार्ड पार्षद,इफ्तेखार,वार्ड पार्षद,दरभंगा,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/31/26/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/31/photo.jpeg
PATNA(पटना),वार्ड पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PATNA(पटना),वार्ड पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),मुख्य पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),उप मुख्य पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,पुटी कुमारी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/3/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/6/photo.jpeg
PURVI CHAMPARAN(पूर्वी चम्पारण),वार्ड पार्षद,बसंती देवी,वार्ड पार्षद,पटना,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/59/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/66/photo.jpeg
PASCHIM CHAMPARAN(पश्चिम चम्पारण),वार्ड पार्षद,सोनी देवी,वार्ड पार्षद,पश्चिम चम्पारण,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/34/29/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/34/photo.jpeg
VAISHALI(वैशाली),वार्ड पार्षद,जूही कुमारी,वार्ड पार्षद,वैशाली,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/20/15/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/20/photo.jpeg
SARAN(सारण),मुख्य पार्षद,लक्ष्मरी नारायण गुप्ता,मुख्य पार्षद,सारण,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/59/53/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/59/photo.jpeg
SITAMARHI(सीतामढ़ी),वार्ड पार्षद,मरियम खातून,वार्ड पार्षद,सीतामढ़ी,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/21/16/Documents/aff_prapatra_kh.pdf,http://sec2021.bihar.gov.in/ForPublicPdf/SEC_Nomination4/Uploads/21/photo.jpeg
